lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
6146.720208502363,0.2268092166,6146.002666498562,6147.232779534837,1.0
6150.951295926961,0.2244067321,6150.23326000399,6151.464219787086,1.0
6151.852272355393,0.1140158226,6151.134131256261,6152.365271347361,1.0
6151.852782916032,0.1122944773,6151.1346417572995,6152.365781950575,1.0
6153.325432701497,0.470603729,6152.607119631885,6153.838554539357,1.0
6153.325583365707,0.4585831654,6152.607270278506,6153.838705216129,1.0
6155.929448047315,0.2522412846,6155.210830996014,6156.442787032333,1.0
6156.849056414373,0.38846567,6156.130332011898,6157.362472084939,1.0
6159.43713600792,0.4869986447,6158.718109484029,6159.9507674967745,1.0
6162.454335389265,0.3765407845,6161.734956650335,6162.968218480429,1.0
6163.884737547024,0.7765895533,6163.165191829024,6164.398739918501,1.0
6165.463368591684,0.4415259833,6164.743638591002,6165.977502604185,1.0
6167.070770452814,0.3905101234,6166.350852810868,6167.585038505519,1.0
6168.1456816600075,0.5416209421,6167.425638537493,6168.660039348865,1.0
6175.049161078753,0.5535843227,6174.3283120733795,6175.564094444306,1.0
6177.079574348522,0.3695927898,6176.35848832133,6177.594677028927,1.0
6178.52529667921,0.441231843,6177.804041884535,6179.0405199174675,1.0
6181.9202034572245,0.4671456442,6181.198552355554,6182.435709794568,1.0
6185.298422213357,0.0802507681,6184.576376752781,6185.814210258182,1.0
6187.411731016503,0.1349606858,6186.6894388572355,6187.927695288786,1.0
6188.42877004019,0.2307791803,6187.706359156107,6188.944819122701,1.0
6189.706760033222,0.3914261173,6188.984199962018,6190.222915686495,1.0
6197.168484125589,0.082394581,6196.445053004414,6197.685262007219,1.0
6200.910196914644,0.1533651619,6200.186329001814,6201.42728681529,1.0
6202.035745973719,0.5713063852,6201.311746669072,6202.552929733175,1.0
6215.1550900552165,0.624333322,6214.4295592540775,6215.673367828311,1.0
6215.155305318073,0.6136588933,6214.429774491805,6215.673583109118,1.0
6221.007197226074,0.6349565621,6220.280983274806,6221.525963002609,1.0
6222.511992440335,0.176618502,6221.7856028256665,6223.030883700773,1.0
6225.711145189326,0.2174236985,6224.984382119156,6226.2303032250475,1.0
6228.462055989567,0.2605653903,6227.734971789758,6228.981443421964,1.0
6230.9561525308,0.3452827274,6230.228777180756,6231.4757479443,1.0
6234.37140892744,0.5615671179,6233.643634894873,6234.891289136967,1.0
6239.051062965274,0.3015032813,6238.322742649775,6239.571333408132,1.0
6242.379789065527,0.4484823231,6241.651080168685,6242.900337088707,1.0
6244.843471020292,0.3236452929,6244.114474523685,6245.36422448832,1.0
6245.5455528198245,0.2592822886,6244.816474365171,6246.066364834001,1.0
6246.2004729723985,0.2517406207,6245.471318065149,6246.721339599944,1.0
6248.052570107617,0.6376991994,6247.323198994417,6248.573591180348,1.0
6249.291910498879,0.325952429,6248.562394710346,6249.813034919406,1.0
6254.293715522661,0.7085807482,6253.563615844659,6254.815257040481,1.0
6259.840056517769,0.4872299359,6259.1093093834825,6260.362060541386,1.0
6266.872377537514,0.6296854207,6266.140809479947,6267.394967981844,1.0
6345.90935963366,0.4743453049,6345.168565134579,6346.438540920935,1.0
6366.125386690016,0.221027201,6365.382232257821,6366.656253778745,1.0
6382.51148005418,0.4179017906,6381.7664127790595,6383.043713568662,1.0
6395.378229738644,0.7059050792,6394.631660453828,6395.911536203082,1.0
6413.427717614054,0.6355063092,6412.679041308704,6413.96252921364,1.0
6438.189027799136,0.0987770117,6437.437460963628,6438.725904228402,1.0
6609.855807821254,0.1909018271,6609.084201335145,6610.406999432552,1.0
6631.847242148732,0.0884069831,6631.0730684760065,6632.40026761155,1.0
6636.960353409486,0.1698282981,6636.185582853874,6637.513805251353,1.0
6648.771821251514,0.1037538928,6647.995671875325,6649.326258044064,1.0
6655.693964577624,0.0931714108,6654.91700713983,6656.248978603239,1.0
6662.914008217625,0.1030404422,6662.136207942612,6663.4696243180215,1.0
6665.28972700167,0.5478733048,6664.511649395338,6665.845541211724,1.0
6700.518351508436,0.1423743963,6699.736161462142,6701.077103410758,1.0
6705.423836702,0.3340396043,6704.641074010205,6705.982997669567,1.0
6706.957990854326,0.3416148409,6706.175049071893,6707.517279754019,1.0
6712.17576119976,0.1745114724,6711.392210316983,6712.735485205955,1.0
6714.913599763592,0.1818422679,6714.129729277172,6715.473552076379,1.0
6715.599224715195,0.1745179176,6714.815274191831,6716.159234201805,1.0
6718.094631708587,0.121021095,6717.310389882013,6718.654849285575,1.0
6719.5366990125885,0.5664049576,6718.752288845204,6720.097036842639,1.0
6723.697948373887,0.1975235619,6722.913052439929,6724.258633207837,1.0
6727.217337531065,0.1544026826,6726.432030758569,6727.7783158446055,1.0
6728.528536531942,0.3536373088,6727.743076695645,6729.089624185522,1.0
6730.876450102465,0.0708510576,6730.090716180713,6731.437733547043,1.0
6733.926990715738,0.0703696049,6733.140900686834,6734.488528542928,1.0
6735.013479506897,0.2188845286,6734.227262645907,6735.575107935688,1.0
6739.846162383379,0.1711102477,6739.059381375521,6740.408193806476,1.0
6741.386513594242,0.1396133626,6740.599552772328,6741.948673466234,1.0
6746.967851124378,0.0778490205,6746.180238760832,6747.530476420506,1.0
6747.824121331683,0.0618707999,6747.036409010791,6748.38681803163,1.0
6752.0224317897655,0.5513131549,6751.234229375946,6752.585478584113,1.0
6754.575436927551,0.2740646878,6753.786936486758,6755.1386966153495,1.0
6769.648213731653,0.5465672235,6768.85795375893,6770.212730328586,1.0
6772.914646859244,0.1208860737,6772.124005576995,6773.479435841928,1.0
6774.191026413386,0.3453330029,6773.40023613201,6774.755921832537,1.0
6788.737007964621,0.2122627073,6787.944519647154,6789.303116363788,1.0
6800.340299317646,0.0562985549,6799.546456481242,6800.907375307793,1.0
6808.729216503212,0.3157638731,6807.934394380255,6809.296992039751,1.0
6812.145941550312,0.3667615052,6811.350720573388,6812.714002005348,1.0
6816.831026948061,0.1408406289,6816.035259054172,6817.399478089346,1.0
6822.255492625528,0.3088549981,6821.45909150256,6822.824396109506,1.0
6830.481790634497,0.3990990712,6829.684429208448,6831.051380104159,1.0
6838.896357994588,0.1476725799,6838.098014287693,6839.466649149593,1.0
6845.548595020353,0.4153171317,6844.749474759568,6846.119440901111,1.0
6850.448894523878,0.0788870475,6849.649202222949,6851.020149037451,1.0
6859.144700892525,0.1923800996,6858.343993480102,6859.716680543781,1.0
6860.0466870675655,0.3736454923,6859.245874361109,6860.618741934866,1.0
